text,label
"almost got in a giant car accident on the 101",Negative
"like something wholly original",Positive
"b.s. one another",Negative
"Happy Star Wars Day, may the 4th be with you  my lil` 12yr old bro is at home playing with a lego AT-AT and dozens of stormtroopers.",Positive
"few new converts",Negative
"far more imaginative and ambitious than the trivial , cash-in features nickelodeon has made from its other animated tv series . ",Positive
"has a built-in audience , but only among those who are drying out from spring break ",Negative
has a handful of smart jokes ,Positive
is tragically rare in the depiction of young women in film ,Negative
"at achieving the modest , crowd-pleasing goals it sets for itself ",Positive
"the great pity is that those responsible did n't cut their losses -- and ours -- and retitle it the adventures of direct-to-video nash , and send it to its proper home . ",Negative
 and guess what ! ive got 20 % ! wow its impossible,Negative
makes the grade as tawdry trash . ,Negative
rife with nutty cliches and far too much dialogue ,Negative
I ordered this online because no one around town had this and we needed it for a trip coming up for the weekend. Not only did it arrive two days before we left but it was 3$ cheaper to buy online + 2-Day shipping (which got here in 1 day). The mattress is great and our 3 yr old loves it. The mattress protector is just a fleece fitted sheet and nice to have and having the air pump and the carry bag is a life saver as well. Setup and put up is simple and takes a couple of minutes at most. Highly recommend this product for your toddler(s).,Positive
the wildly popular vin diesel in the equation ,Positive
"time to do some revision while listening to  albums non-stop all day, again!",Neutral
was only a matter of time before some savvy producer saw the potential success inherent in the mixture of bullock bubble and hugh goo ,Positive
a seriously bad film with seriously warped logic by writer-director kurt wimmer at the screenplay level . ,Negative
a whip-smart sense of narrative bluffs ,Positive
is starting to love twitter!!! Facebook-detox diet is working great,Positive
"Invasion of the Old Ladies has just ended, still have to clean up not going to be able to make it to the tweetup tonight.",Neutral
vulgarity ,Negative
that a movie can be as intelligent as this one is in every regard except its storyline ,Negative
"mcwilliams 's melancholy music , are charged with metaphor , ",Positive
Rough start to my day.  Taking this one off from DON so as not to spread my bad vibes. Hope you all have a great weekend! I`m outty.,Neutral
the source material movie ,Positive
 I`m straining to hear but it`s very hard from all the way over here.,Negative
laughing at the ridiculous dialog or the oh-so convenient plot twists ,Negative
