text,label
almost got in a giant car accident on the 101,Negative
like something wholly original ,Positive
b.s. one another ,Negative
"Happy Star Wars Day, may the 4th be with you  my lil` 12yr old bro is at home playing with a lego AT-AT and dozens of stormtroopers.",Positive
few new converts ,Negative
"far more imaginative and ambitious than the trivial , cash-in features nickelodeon has made from its other animated tv series . ",Positive
"has a built-in audience , but only among those who are drying out from spring break ",Negative
has a handful of smart jokes ,Positive
is tragically rare in the depiction of young women in film ,Negative
"at achieving the modest , crowd-pleasing goals it sets for itself ",Positive
